Startup,URL,Opportunity Space,Country,Business Description,Year Founded,"Maturity (Existing, Emerging, Distant)",Total funding (US$),RMI Terminology Funding Round
Altera,www.altera.cl,Payments & Remittances,Chile,Solucion de pagos digitales mediante canales de contactabilidad moviles y trazabilidad de interacciones,2015,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Autómata,automata.beanar.io,Enterprise Technology for Financial Institutions,Honduras,"Autogestión financiera, cliente servidor y hardware en una misma unidad",2014,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
BiiN,www.biin.mx,Payments & Remittances,Mexico,The best payment services for transportation,2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Blanki,blanki.com.br,Personal Financial Management,Brazil,We are focused on offering supply chain financial services that bring your suppliers and customers closer together.,2020,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Contrato Marco,http://contratomarco.co/,Trading & Capital Markets,Colombia,blockchain-based collateral management,2017,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Copel Retail Solutions,Copelprestige.com,Personal Financial Management,Dominican Republic,Productos de prepago para no bancarizados,2014,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Credifit,https://www.credifit.com.br,Business Lending,Brazil,"Direct loan societity, specialized in payroll loans",2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Daruma Pagos,Www.darumapagos.com.ar,Enterprise Financial Management,Argentina,We provide cash management and payment solutions for SMEs,2018,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
DolarSeguro,www.dolarseguro.pe,Payments & Remittances,Peru,Casa de cambio de divisas y pagos On Line,2018,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Factoro,factoro.mx,Business Lending,Mexico,We offer a supply chain finance solution for SMEs in Mexico as a way to reduce high cost financial asset-based lending through invoices and obtain working capital liquidity.,2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
ephamoney,www.ephamoney.hn,Digital Banks,Honduras,"Ephamoney es una cuenta digital mediante una app móvil se puede depositar, retirar, pagar, transferir solicitar microcreditos digitales.",2016,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Estacion de Pago EP,www.estaciomdepago.com,Payments & Remittances,Guatemala,Self service payment station,2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
go4iit,www.go4iit.com.br,Business Lending,Brazil,Marketplace de crédito para empresa pequenas e médias,2020,Demo/Prototype,0,No Funding Received / No Hemos Recibido Fondos
Feenicia,www.feenicia.com,Payments & Remittances,Mexico,Mucho más que solo aceptar tarjetas.,2017,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
FINGAME,https://fingame.app,Personal Financial Management,Mexico,Personal finance app designed as a game,2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Finnova Fintech sas,Www.finnova.com.co,Crowdfunding,Colombia,Democratización de la inversion inmobiliaria,2018,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
FrankRolando,www.frankrolando.com,Payments & Remittances,Peru,Soluciones disruptivas para lograr rentabilidad,2020,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Freesbit,https://freesbit.com/,Trading & Capital Markets,Mexico,Freesbit: A new era for currency exchange.,2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Frii,soyfrii.com,Payments & Remittances,Guatemala,es una billetera digital y pasarela de pago que permite a los clientes realizar pagos y transferir dinero a través de dispositivos móviles.,2020,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
HUMAN LEAP,www.humanleap.pro,"Scoring, Identity & Fraud",Colombia,"Human Leap, primera empresa en contar con un piloto end-to-end de trazabilidad en blokchain en comercio exterior de café especial",2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Infinity Life Tech,https://www.infinitylifetech.com/,Insurance,Chile,"Mejoramos el bienestar emocional de los consumidores a partir de la neurociencia, redefinimos la industria de seguros de vida",2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
koin!,koin.mx,Personal Financial Management,Mexico,El asistente financiero mas simple de México,2017,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Kolecty,www.kolecty.com,Enterprise Financial Management,Mexico,We are a B2B SaaS platform that identifies payments and make bank reconciliation.,2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Konvierte,www.konvierte.com,Digital Banks,Mexico,Evolucionamos tecnológicamente al sistema financiero tradicional,2020,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Kuanto S.A.S,Kuanto.co,"Scoring, Identity & Fraud",Colombia,Facilitar a las empresas y personas soporte para vender sus productos a crédito,2015,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Pulpo Credit,www.pulpo.credit,Business Lending,El Salvador,Pulpo es una empresa financiera de base tecnológica con sede en San Salvador. Nos enfocamos en proporcionar inclusión financiera a través de ahorros y préstamos de fácil acceso para MiPyMEs desatendidas o financieramente excluidas del sistema bancario tradicional.,2020,Demo/Prototype,0,No Funding Received / No Hemos Recibido Fondos
MAPPRISK,www.mapprisk.com,"Scoring, Identity & Fraud",Dominican Republic,"Servicios de Consultoria, Asesoría, Gestión de Riesgo, estándares internacionales. Impulsando las iniciativas Regtech en RD.",2018,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Maximo,www.maximo.pe,Digital Banks,Peru,Somos una solución para conectar a las personas y las pequeñas empresas con su dinero ... sin bancos.,2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
